1,FF4C3E
2,188064
3,AAAAAA
4,FF7AFF
6,CCCCCC
7,FFAE6F
8,BFDAE3
9,188064
10,FF90FF
11,AAAAAA
12,FFA6FF
14,CCCCCC
15,FF909F
16,8ADA87
17,FF90FF
18,AAAAAA
19,7ED04B
20,32B825
21,CCCCCC
22,009FAC
23,80C0E2
25,AAAAAA
26,FF90FF
27,FF909F
28,32B825
29,CCCCCC
30,FF5D50
31,40A666
33,08858C
34,AAAAAA
35,FF90FF
36,009C75
37,CCCCCC
38,FF5D50
39,40A666
41,08858C
42,FF90FF
43,AAAAAA
44,59B363
45,FFA5D2
46,CCCCCC
47,FF5D50
48,40A666
49,AAAAAA
50,FF90FF
51,FF909F
52,32B825
53,FFA5D2
54,CCCCCC
55,FF5D50
56,80CDF8
57,AAAAAA
58,FF90FF
59,FF909F
60,32B825
61,FFA5D2
62,CCCCCC
63,FF4C3E
64,FF909F
65,AAAAAA
66,FF90FF
67,FF90FF
68,268F45
69,FFA5D2
70,CCCCCC
71,FF5D50
72,FF5547
73,AAAAAA
74,08858C
75,FF90FF
76,FFB3D9
77,FFA5D2
78,CCCCCC
79,FF5D50
80,FF5547
81,AAAAAA
82,FFAE6F
83,FFB3D9
84,2FA850
85,CCCCCC
86,CCCCCC
87,FF5D50
88,FF4C3E
89,AAAAAA
90,FFAE6F
91,FFFDBC
92,32B825
93,CCCCCC
94,FF5D50
95,219866
96,FFA5D2
97,15B0B3
98,AAAAAA
99,FFAE6F
100,FFA6FF
101,FFA5D2
102,CCCCCC
103,FF5D50
104,219866
105,FFAE6F
106,FFB3D9
107,1F9D5A
108,AAAAAA
109,CCCCCC
110,FF5D50
111,219866
112,FFA5D2
113,188064
114,FFAE6F
115,FF90FF
116,AAAAAA
117,CCCCCC
118,FF5D50
119,219866
120,219866
121,08858C
122,FFAE6F
123,FFAE6F
124,AAAAAA
125,CCCCCC
126,FF5547
127,FF909F
128,FF90FF
129,AAAAAA
130,FFC395
131,90EB8D
132,2FA850
133,FF5547
134,CCCCCC
135,FFB3D9
136,FFB3D9
137,FFC395
138,FF909F
139,32B825
140,AAAAAA
141,FF5547
142,CCCCCC
143,FFB3D9
144,80CDF8
145,AAAAAA
146,FFC395
147,FFC395
148,009C75
149,FF909F
150,CCCCCC
151,9DF0D2
152,6ACBBA
153,AAAAAA
154,FFB3D9
155,FF909F
156,19399
157,FF5D50
158,CCCCCC
159,54BF94
160,54BF94
161,FFB3D9
162,FFC395
163,219866
164,AAAAAA
165,FFA6FF
166,CCCCCC
167,54BF94
168,54BF94
169,FFB3D9
170,FF8084
171,2FA850
173,F2483B
174,CCCCCC
175,54BF94
177,FFB3D9
178,FF909F
179,40A666
180,009C75
181,FF909F
182,CCCCCC
183,54BF94
184,268F45
185,FFB3D9
186,FF909F
187,009C75
188,9DF0D2
189,FF909F
190,CCCCCC
191,54BF94
192,61E7B7
193,FFB3D9
194,F2483B
195,2FA850
196,95E4C8
197,FFA6FF
198,CCCCCC
199,54BF94
200,61E7B7
201,188064
202,FFB3D9
203,FFB3D9
204,9DF0D2
205,CCCCCC
206,FFC6E2
207,FFA5D2
208,61E7B7
209,FFB3D9
210,FF4C3E
211,40A666
212,82C7AE
213,CCCCCC
214,FF90FF
215,FF90FF
216,61E7B7
217,FFB3D9
218,FF909F
219,1F9D5A
220,82C7AE
221,CCCCCC
222,FFC6E2
223,FF5D50
224,61E7B7
225,FFB3D9
226,F2483B
227,40A666
228,9AD2BD
229,CCCCCC
230,FFC6E2
231,FF90FF
232,61E7B7
233,08858C
234,15B0B3
235,FFB3D9
236,82C7AE
237,CCCCCC
238,FFC395
239,FF909F
240,61E7B7
241,009FAC
242,90CBED
243,19399
244,9AD2BD
245,CCCCCC
246,FF90FF
247,19399
248,61E7B7
249,19399
250,90CBED
251,19399
252,19399
253,CCCCCC
254,1AA698
255,FF909F
256,61E7B7
257,08858C
258,90CBED
259,32B825
260,95E4C8
261,CCCCCC
262,FF909F
263,FF5547
264,248A5E
266,90CBED
267,A4DAA4
268,95E4C8
269,08858C
270,CCCCCC
271,FF7AFF
272,FF5547
274,1AA698
275,90CBED
276,6ACBBA
277,CCCCCC
278,80C0E2
279,1AA698
280,FFBA86
281,08858C
283,FFBA86
284,6ACBBA
285,CCCCCC
286,FF5547
287,B3C0DF
288,248A5E
289,15B0B3
290,F2483B
291,6ACBBA
292,80C0E2
293,CCCCCC
294,FF90FF
295,9DE79C
296,40A666
297,62D09F
298,A2B1D8
299,1F9D5A
300,FF909F
301,CCCCCC
302,FF7AFF
303,9DE79C
304,2FA850
305,08858C
306,62D09F
307,FFB3D9
308,009FAC
309,CCCCCC
310,90CBED
311,9DE79C
312,32B825
313,FF64FF
314,219866
315,70FF71
316,FF909F
317,CCCCCC
318,FFBA86
319,84EA81
320,1F9D5A
321,FF909F
322,188064
323,FF90FF
324,32B825
325,FF909F
326,CCCCCC
